Sr No,Container No,Tare Weight,Stuffed Qty,Cargo Weight,Agent Seal No.,Custom Seal No.
1,EGHU3093592,2180,540,27086,EMCJKU7039,0
2,EGHU3185317,2210,540,27086,EMCJHX9729,0
3,EGHU3603947,2150,540,27086,EMCJKU7029,0
4,EGSU3004351,2190,540,27086,EMCJHZ5679,0
5,EMCU3556963,2200,540,27086,EMCRYZ4088,0
6,EMCU3604104,2200,540,27086,EMCRYZ4068,0
7,TEMU3628362,2200,540,27086,EMCRYZ4098,0
8,EITU0508973,2210,540,27086,EMCJKU4159,0
9,EITU0599607,2210,540,27086,EMCRYZ4058,0
10,EMCU3520132,2190,540,27090,EMCRYZ4078,0
11,DRYU2985634,2210,540,27086,EMCRYZ4048,0
12,EGHU3395294,2150,540,27086,EMCJKV3289,0
13,EGHU3456450,2150,540,27086,EMCRYZ2948,0
14,EITU3026300,2120,540,27086,EMCJKV3279,0
15,HMCU3000067,2200,540,27086,EMCJKU4279,0
16,IMTU3037102,2190,540,27086,EMCJKV7089,0
17,TGCU2022944,2130,540,27086,EMCJHZ5719,0
18,TEMU4129223,2200,540,27086,EMCRYZ4028,0
19,WFHU1427167,2180,540,27086,EMCJHZ5709,0
20,EITU0208831,2245,540,27090,EMCJHZ5729,0
21,EGHU3627147,2150,545,27337,EMCJKU8289,0
22,EGHU3931099,2120,545,27337,EMCJKU4269,0
23,EMCU3936789,2190,536,26885,EMCJKU4149,0
24,EMCU3944790,2190,538,26986,EMCRYZ2958,0
25,EMCU6074950,2190,540,27086,EMCJHZ5689,0
26,EGHU3502303,2150,540,27086,EMCJKU4449,0
27,EGHU3934122,2120,540,27086,EMCJHZ5659,0
28,TEMU4540960,2200,535,26835,EMCRYZ4038,0
29,MAGU2451590,2210,545,27337,EMCJKU9089,0
30,IMTU3049422,2200,536,26889,EMCJKU9049,0
31,EGSU3007936,2190,540,27086,EMCJKV7099,0
32,EISU2121742,2245,543,27236,EMCJHX9759,0
33,EISU2169155,2265,540,27086,EMCJHZ5669,0
34,EISU2263834,2260,540,27086,EMCJKU4489,0
35,EITU0091880,2265,540,27086,EMCJKU4499,0
36,EITU0259994,2245,540,27086,EMCJKU4289,0
37,EITU0439105,2210,540,27086,EMCJKU9079,0
38,EGHU3163494,2200,532,10888,EMCJKU4469,0
39,OOLU1692826,2250,540,27086,CVD5723,0
40,SEGU3162133,2080,540,27086,GCA5946,0
41,BSIU3125035,2150,540,27086,CVD5721,0
42,BSIU2676542,2230,540,27086,CRX7101,0
43,OOLU0188087,2180,540,27086,CVD5724,0
44,OOLU0459419,2190,540,27086,CRX7166,0
45,OOLU0195506,2180,540,27086,GCA5945,0
46,OOLU0508679,2170,540,27086,CVD5722,0
47,TLLU2049351,2100,540,27086,CVD5719,0
48,FCIU3174979,2220,540,27090,CVD5667,0
49,TCLU3511506,2180,545,27338,EMCJKU4479,0
50,WFHU1427932,2200,540,27086,EMCJKU4459,0
